Subject,Number,Course_Title,Primary_Instructor,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,avg_prof_gpa
CHBE,431,Process Design,"Vogel, Troy",19,76,91,104,137,90,71,63,31,8,4,0,4,1,2.96
CHBE,440,Process Control and Dynamics,"Price, Nathan D",5,16,12,10,22,10,15,5,3,0,1,0,0,0,3.08
CHBE,440,Process Control and Dynamics,"Rao, Christopher V",64,113,62,79,91,57,51,72,19,18,16,0,0,0,3.05
CHBE,440,Process Control and Dynamics,"Shukla, Diwakar",4,31,16,33,28,15,8,11,0,1,1,0,0,0,3.21
CHBE,440,Process Control and Dynamics,"Vogel, Troy",4,21,55,52,46,40,29,11,6,1,0,0,2,0,3.07
CHBE,452,Chemical Kinetics & Catalysis,"Masel, Richard I",0,24,0,0,4,0,0,2,1,0,0,0,1,0,3.55
CHBE,455,Polymer Synthesis,"Guironnet, Damien S",1,12,6,8,12,8,1,5,3,0,1,0,1,0,3.04
CHBE,456,Polymer Science & Engineering,"Schroeder, Charles M",7,47,2,6,54,7,2,18,5,0,1,0,0,1,3.16
CHBE,457,Microelectronics Processing,"Seebauer, Edmund G",4,32,14,8,31,7,13,25,7,0,2,1,4,0,2.89
CHBE,471,Biochemical Engineering,"Kraft, Mary L",2,215,36,27,196,16,27,101,16,0,7,3,5,0,3.1
CHBE,472,Techniques in Biomolecular Eng,"Leckband, Deborah E",4,39,1,4,38,1,3,30,2,0,1,1,0,0,3.05
CHBE,473,Biomolecular Engineering,"Zhao, Huimin",5,52,4,9,49,7,9,32,3,1,7,2,3,0,2.94
CHBE,474,Metabolic Engineering,"Price, Nathan D",1,6,5,3,3,3,0,0,1,0,0,0,0,0,3.41
CHBE,475,Tissue Engineering,"Harley, Brendan A",0,30,45,34,28,16,7,1,0,0,0,0,0,0,3.37
CHBE,476,Biotransport,"Kong, Hyun Joon",31,87,53,41,46,4,1,0,0,0,0,0,0,0,3.63
CHBE,478,Bioenergy Technology,"Shukla, Diwakar",0,6,7,17,8,6,0,0,0,0,0,0,0,0,3.33
